Scenario,ID,Eta,ETA_VAL,ETA_SE,OMEGA_SD,ETA_SE/OMEGA_SD,SHRINK_SUB_VAR,SHRINK_SUB_SD
WorkFlow,1,nVmax,0.066434,0.093132,0.258669,0.360043,0.129631,0.067064
WorkFlow,2,nVmax,0.281304,0.102321,0.258669,0.395567,0.156473,0.081563
WorkFlow,3,nVmax,-0.068768,0.190184,0.258669,0.735243,0.540582,0.322196
WorkFlow,4,nVmax,0.097986,0.118647,0.258669,0.458684,0.210391,0.111400
WorkFlow,5,nVmax,-0.042732,0.154904,0.258669,0.598849,0.358620,0.199138
WorkFlow,6,nVmax,0.014342,0.112136,0.258669,0.433510,0.187931,0.098851
WorkFlow,7,nVmax,-0.073879,0.173632,0.258669,0.671253,0.450580,0.258772
WorkFlow,8,nVmax,0.141550,0.121588,0.258669,0.470054,0.220951,0.117362
WorkFlow,9,nVmax,0.335434,0.105366,0.258669,0.407339,0.165925,0.086723
WorkFlow,10,nVmax,-0.328439,0.146438,0.258669,0.566123,0.320495,0.175679
WorkFlow,11,nVmax,-0.154524,0.123145,0.258669,0.476072,0.226644,0.120594
WorkFlow,12,nVmax,-0.222529,0.146918,0.258669,0.567977,0.322598,0.176956
WorkFlow,13,nVmax,0.242188,0.110637,0.258669,0.427718,0.182943,0.096088
WorkFlow,14,nVmax,0.112029,0.108158,0.258669,0.418132,0.174834,0.091614
WorkFlow,15,nVmax,0.047214,0.107519,0.258669,0.415664,0.172777,0.090482
WorkFlow,16,nVmax,-0.141820,0.124225,0.258669,0.480248,0.230638,0.122867
WorkFlow,17,nVmax,-0.066171,0.128116,0.258669,0.495291,0.245313,0.131273
WorkFlow,18,nVmax,-0.409092,0.169531,0.258669,0.655398,0.429546,0.244716
WorkFlow,19,nVmax,0.096537,0.120331,0.258669,0.465193,0.216405,0.114791
WorkFlow,20,nVmax,0.184474,0.096208,0.258669,0.371934,0.138335,0.071741
WorkFlow,21,nVmax,0.130353,0.129336,0.258669,0.500008,0.250008,0.133979
WorkFlow,22,nVmax,0.009758,0.105930,0.258669,0.409520,0.167707,0.087699
WorkFlow,23,nVmax,-0.154632,0.163938,0.258669,0.633775,0.401671,0.226482
WorkFlow,24,nVmax,-0.290394,0.169362,0.258669,0.654745,0.428691,0.244150
WorkFlow,25,nVmax,0.068003,0.113356,0.258669,0.438227,0.192043,0.101136
WorkFlow,26,nVmax,-0.086730,0.122358,0.258669,0.473031,0.223758,0.118954
WorkFlow,27,nVmax,0.081871,0.105777,0.258669,0.408930,0.167224,0.087434
WorkFlow,28,nVmax,-0.691796,0.127596,0.258669,0.493280,0.243325,0.130129
WorkFlow,29,nVmax,-0.252198,0.139019,0.258669,0.537440,0.288842,0.156698
