Scenario,ID,Eta,ETA_VAL,ETA_SE,OMEGA_SD,ETA_SE/OMEGA_SD,SHRINK_SUB_VAR,SHRINK_SUB_SD
WorkFlow,1,nVmax,0.049490,0.099436,0.294454,0.337695,0.114038,0.058744
WorkFlow,2,nVmax,0.340507,0.112220,0.294454,0.381112,0.145246,0.075471
WorkFlow,3,nVmax,0.287849,0.127777,0.294454,0.433945,0.188309,0.099061
WorkFlow,4,nVmax,0.144115,0.126105,0.294454,0.428267,0.183413,0.096348
WorkFlow,5,nVmax,-0.100408,0.143691,0.294454,0.487992,0.238136,0.127152
WorkFlow,6,nVmax,0.045394,0.118535,0.294454,0.402559,0.162053,0.084606
WorkFlow,7,nVmax,-0.107446,0.161663,0.294454,0.549027,0.301430,0.164195
WorkFlow,8,nVmax,0.272274,0.123781,0.294454,0.420375,0.176715,0.092649
WorkFlow,9,nVmax,0.383222,0.122009,0.294454,0.414356,0.171691,0.089885
WorkFlow,10,nVmax,-0.263997,0.115573,0.294454,0.392501,0.154057,0.080248
WorkFlow,11,nVmax,-0.147561,0.128058,0.294454,0.434901,0.189139,0.099522
WorkFlow,12,nVmax,-0.144336,0.120447,0.294454,0.409053,0.167325,0.087490
WorkFlow,13,nVmax,0.250216,0.121884,0.294454,0.413932,0.171340,0.089692
WorkFlow,14,nVmax,0.172228,0.119298,0.294454,0.405148,0.164145,0.085749
WorkFlow,15,nVmax,0.055230,0.120928,0.294454,0.410685,0.168662,0.088223
WorkFlow,16,nVmax,-0.125714,0.117452,0.294454,0.398879,0.159104,0.082996
WorkFlow,17,nVmax,-0.281966,0.124952,0.294454,0.424352,0.180074,0.094503
WorkFlow,18,nVmax,-0.482720,0.172378,0.294454,0.585414,0.342709,0.189265
WorkFlow,19,nVmax,0.095139,0.123765,0.294454,0.420319,0.176668,0.092623
WorkFlow,20,nVmax,0.196762,0.112600,0.294454,0.382404,0.146233,0.076005
WorkFlow,21,nVmax,0.096194,0.129253,0.294454,0.438958,0.192684,0.101492
WorkFlow,22,nVmax,0.033473,0.117086,0.294454,0.397636,0.158114,0.082457
WorkFlow,23,nVmax,-0.330798,0.161893,0.294454,0.549807,0.302287,0.164708
WorkFlow,24,nVmax,-0.030691,0.115737,0.294454,0.393055,0.154492,0.080485
WorkFlow,25,nVmax,0.073937,0.119359,0.294454,0.405358,0.164315,0.085842
WorkFlow,26,nVmax,-0.074462,0.114828,0.294454,0.389968,0.152075,0.079172
WorkFlow,27,nVmax,0.063084,0.118489,0.294454,0.402401,0.161926,0.084536
WorkFlow,28,nVmax,-0.879680,0.094070,0.294454,0.319474,0.102063,0.052405
WorkFlow,29,nVmax,-0.113594,0.117014,0.294454,0.397394,0.157922,0.082352
WorkFlow,30,nVmax,-0.490525,0.117945,0.294454,0.400556,0.160445,0.083728
WorkFlow,31,nVmax,0.357356,0.127827,0.294454,0.434115,0.188456,0.099143
WorkFlow,32,nVmax,-0.223942,0.113806,0.294454,0.386499,0.149381,0.077710
WorkFlow,33,nVmax,-0.163920,0.117270,0.294454,0.398262,0.158613,0.082728
WorkFlow,34,nVmax,-0.465076,0.118728,0.294454,0.403215,0.162582,0.084895
WorkFlow,35,nVmax,0.322221,0.117747,0.294454,0.399881,0.159905,0.083433
WorkFlow,36,nVmax,0.277620,0.119849,0.294454,0.407021,0.165666,0.086581
WorkFlow,37,nVmax,0.035853,0.110993,0.294454,0.376944,0.142087,0.073764
WorkFlow,38,nVmax,0.096317,0.128620,0.294454,0.436807,0.190801,0.100445
WorkFlow,39,nVmax,-0.144259,0.116408,0.294454,0.395335,0.156290,0.081463
WorkFlow,40,nVmax,0.163838,0.117559,0.294454,0.399242,0.159394,0.083155
WorkFlow,41,nVmax,-0.147530,0.112273,0.294454,0.381292,0.145384,0.075545
WorkFlow,42,nVmax,0.192472,0.115698,0.294454,0.392925,0.154390,0.080430
WorkFlow,43,nVmax,0.418053,0.125916,0.294454,0.427624,0.182863,0.096044
WorkFlow,44,nVmax,-0.175420,0.107494,0.294454,0.365062,0.133270,0.069017
WorkFlow,45,nVmax,0.232029,0.115161,0.294454,0.391100,0.152959,0.079652
WorkFlow,46,nVmax,-0.198710,0.124653,0.294454,0.423335,0.179213,0.094027
WorkFlow,47,nVmax,0.014279,0.117833,0.294454,0.400174,0.160139,0.083561
WorkFlow,48,nVmax,-0.040096,0.119567,0.294454,0.406065,0.164889,0.086156
WorkFlow,49,nVmax,0.468891,0.124356,0.294454,0.422327,0.178360,0.093556
WorkFlow,50,nVmax,0.412854,0.124647,0.294454,0.423316,0.179197,0.094018
WorkFlow,51,nVmax,0.140683,0.117320,0.294454,0.398432,0.158748,0.082802
WorkFlow,52,nVmax,-0.267726,0.110357,0.294454,0.374784,0.140463,0.072888
WorkFlow,53,nVmax,-0.083502,0.117942,0.294454,0.400545,0.160436,0.083723
WorkFlow,54,nVmax,-0.375324,0.104822,0.294454,0.355987,0.126727,0.065509
WorkFlow,55,nVmax,0.070505,0.121495,0.294454,0.412611,0.170248,0.089093
WorkFlow,56,nVmax,0.363053,0.124265,0.294454,0.422017,0.178098,0.093412
WorkFlow,57,nVmax,0.241933,0.124341,0.294454,0.422278,0.178318,0.093533
WorkFlow,58,nVmax,-0.055164,0.114506,0.294454,0.388876,0.151225,0.078710
WorkFlow,59,nVmax,-0.327101,0.110561,0.294454,0.375477,0.140983,0.073168
WorkFlow,60,nVmax,-0.325199,0.106222,0.294454,0.360743,0.130136,0.067335
WorkFlow,1,nV,-0.959611,0.166265,0.415333,0.400317,0.160254,0.083623
WorkFlow,2,nV,-0.615306,0.167968,0.415333,0.404418,0.163554,0.085426
WorkFlow,3,nV,0.879597,0.189818,0.415333,0.457027,0.208873,0.110547
WorkFlow,4,nV,0.163613,0.184842,0.415333,0.445047,0.198067,0.104493
WorkFlow,5,nV,0.546359,0.198594,0.415333,0.478156,0.228633,0.121725
WorkFlow,6,nV,0.042574,0.169414,0.415333,0.407901,0.166383,0.086974
WorkFlow,7,nV,0.742850,0.203410,0.415333,0.489753,0.239858,0.128139
WorkFlow,8,nV,0.192119,0.182388,0.415333,0.439138,0.192842,0.101580
WorkFlow,9,nV,-0.246271,0.166514,0.415333,0.400916,0.160734,0.083885
WorkFlow,10,nV,0.061464,0.184245,0.415333,0.443609,0.196789,0.103779
WorkFlow,11,nV,0.085522,0.189868,0.415333,0.457147,0.208983,0.110609
WorkFlow,12,nV,0.063688,0.190016,0.415333,0.457504,0.209310,0.110792
WorkFlow,13,nV,0.104017,0.166245,0.415333,0.400270,0.160216,0.083603
WorkFlow,14,nV,0.147531,0.166026,0.415333,0.399742,0.159794,0.083372
WorkFlow,15,nV,-0.161843,0.176398,0.415333,0.424715,0.180383,0.094673
WorkFlow,16,nV,0.100610,0.183501,0.415333,0.441818,0.195203,0.102895
WorkFlow,17,nV,0.177450,0.195804,0.415333,0.471440,0.222256,0.118102
WorkFlow,18,nV,0.413742,0.204613,0.415333,0.492648,0.242702,0.129771
WorkFlow,19,nV,0.235890,0.186120,0.415333,0.448123,0.200814,0.106028
WorkFlow,20,nV,-0.778797,0.178096,0.415333,0.428803,0.183872,0.096602
WorkFlow,21,nV,0.359989,0.197710,0.415333,0.476027,0.226602,0.120569
WorkFlow,22,nV,-0.300806,0.173773,0.415333,0.418395,0.175054,0.091735
WorkFlow,23,nV,0.605660,0.205266,0.415333,0.494220,0.244254,0.130663
WorkFlow,24,nV,0.314052,0.171900,0.415333,0.413886,0.171302,0.089671
WorkFlow,25,nV,-0.043913,0.179388,0.415333,0.431913,0.186549,0.098085
WorkFlow,26,nV,0.021599,0.185207,0.415333,0.445924,0.198848,0.104929
WorkFlow,27,nV,-0.174368,0.168820,0.415333,0.406468,0.165217,0.086335
WorkFlow,28,nV,-0.456958,0.184701,0.415333,0.444707,0.197764,0.104324
WorkFlow,29,nV,0.205499,0.182723,0.415333,0.439945,0.193551,0.101975
WorkFlow,30,nV,-0.159852,0.192878,0.415333,0.464394,0.215661,0.114371
WorkFlow,31,nV,0.381329,0.187889,0.415333,0.452382,0.204649,0.108176
WorkFlow,32,nV,-0.115704,0.174530,0.415333,0.420217,0.176583,0.092577
WorkFlow,33,nV,0.028474,0.192024,0.415333,0.462337,0.213756,0.113296
WorkFlow,34,nV,-0.074303,0.195269,0.415333,0.470151,0.221041,0.117414
WorkFlow,35,nV,0.025814,0.167044,0.415333,0.402194,0.161760,0.084446
WorkFlow,36,nV,-0.207468,0.162660,0.415333,0.391638,0.153380,0.079881
WorkFlow,37,nV,-0.622326,0.175700,0.415333,0.423035,0.178959,0.093887
WorkFlow,38,nV,0.599283,0.192884,0.415333,0.464409,0.215676,0.114379
WorkFlow,39,nV,-0.247193,0.179766,0.415333,0.432825,0.187338,0.098522
WorkFlow,40,nV,-0.449371,0.171231,0.415333,0.412274,0.169970,0.088940
WorkFlow,41,nV,-0.110968,0.174818,0.415333,0.420911,0.177166,0.092898
WorkFlow,42,nV,-0.293968,0.164216,0.415333,0.395383,0.156328,0.081484
WorkFlow,43,nV,0.302798,0.183809,0.415333,0.442559,0.195859,0.103261
WorkFlow,44,nV,-0.724889,0.160372,0.415333,0.386128,0.149095,0.077555
WorkFlow,45,nV,-0.161594,0.176407,0.415333,0.424738,0.180402,0.094684
WorkFlow,46,nV,0.426910,0.195674,0.415333,0.471125,0.221959,0.117934
WorkFlow,47,nV,-0.108360,0.175964,0.415333,0.423670,0.179496,0.094183
WorkFlow,48,nV,0.004478,0.182255,0.415333,0.438817,0.192561,0.101424
WorkFlow,49,nV,0.012177,0.164500,0.415333,0.396069,0.156871,0.081779
WorkFlow,50,nV,0.065112,0.171447,0.415333,0.412794,0.170399,0.089176
WorkFlow,51,nV,-0.277139,0.166488,0.415333,0.400854,0.160684,0.083858
WorkFlow,52,nV,-0.117629,0.179413,0.415333,0.431974,0.186601,0.098114
WorkFlow,53,nV,0.034478,0.183456,0.415333,0.441709,0.195107,0.102842
WorkFlow,54,nV,-0.364750,0.157802,0.415333,0.379941,0.144355,0.074989
WorkFlow,55,nV,-0.040947,0.185760,0.415333,0.447256,0.200038,0.105594
WorkFlow,56,nV,-0.111555,0.181845,0.415333,0.437830,0.191695,0.100942
WorkFlow,57,nV,0.526595,0.181821,0.415333,0.437773,0.191645,0.100915
WorkFlow,58,nV,0.127847,0.174086,0.415333,0.419148,0.175685,0.092082
WorkFlow,59,nV,-0.374414,0.174340,0.415333,0.419761,0.176199,0.092365
WorkFlow,60,nV,-0.505027,0.172511,0.415333,0.415356,0.172520,0.090341
